Pclass,Sex,Age,Fare,Embarked,IsAlone,Title,PassengerId
1,1,2,3,1,0,1,1073
1,0,1,3,0,0,3,1074
3,1,1,0,2,1,1,1075
1,0,1,3,1,0,3,1076
2,1,2,2,0,1,1,1077
2,0,1,2,0,0,2,1078
3,1,1,1,0,0,1,1079
3,0,2,3,0,0,2,1080
2,1,2,1,0,1,1,1081
2,1,2,2,0,0,1,1082
1,1,1,2,0,1,1,1083
3,1,0,2,0,0,4,1084
2,1,3,1,2,1,1,1085
2,1,0,3,0,0,4,1086
3,1,2,0,0,1,1,1087
1,1,0,3,1,0,4,1088
3,0,1,0,0,1,2,1089
2,1,1,1,0,1,1,1090
3,0,2,1,0,1,3,1091
3,0,1,2,2,1,2,1092
3,1,0,1,0,0,4,1093
1,1,2,3,1,0,5,1094
2,0,0,2,0,0,2,1095
2,1,1,1,0,1,1,1096
1,1,2,2,1,1,1,1097
3,0,2,0,2,1,2,1098
2,1,1,1,0,1,1,1099
1,0,2,2,1,1,2,1100
3,1,1,0,0,1,1,1101
3,1,1,2,0,1,1,1102
3,1,1,0,0,1,1,1103
2,1,1,3,0,1,1,1104
2,0,3,2,0,0,3,1105
3,0,2,0,0,0,2,1106
1,1,2,3,0,1,1,1107
3,0,1,0,2,1,2,1108
1,1,3,3,0,0,1,1109
1,0,3,3,1,0,3,1110
3,1,1,1,0,1,1,1111
2,0,1,1,1,0,2,1112
3,1,1,1,0,1,1,1113
2,0,1,1,0,1,3,1114
3,1,1,0,0,1,1,1115
1,0,3,2,1,1,3,1116
3,0,1,2,1,0,3,1117
3,1,1,0,0,1,1,1118
3,0,1,0,2,1,2,1119
3,1,2,2,0,1,1,1120
2,1,2,1,0,1,1,1121
2,1,0,3,0,1,1,1122
1,0,1,2,0,1,2,1123
3,1,1,0,0,0,1,1124
3,1,1,0,2,1,1,1125
1,1,2,3,1,0,1,1126
3,1,1,0,0,1,1,1127
1,1,3,3,1,0,1,1128
3,1,1,0,1,1,1,1129
2,0,1,1,0,0,2,1130
1,0,2,3,1,0,3,1131
1,0,3,2,1,1,3,1132
2,0,2,2,0,0,3,1133
1,1,2,3,1,0,1,1134
3,1,1,0,0,1,1,1135
3,1,2,2,0,0,4,1136
1,1,2,3,0,0,1,1137
2,0,1,2,0,1,3,1138
2,1,2,3,0,0,1,1139
2,0,1,2,0,0,3,1140
3,0,1,2,1,0,3,1141
2,0,0,2,0,0,2,1142
3,1,1,1,0,1,1,1143
1,1,1,3,1,0,1,1144
3,1,1,1,0,1,1,1145
3,1,1,1,0,1,1,1146
3,1,1,0,0,1,1,1147
3,1,1,0,2,1,1,1148
3,1,1,1,0,1,1,1149
2,0,1,1,0,1,2,1150
3,1,1,0,0,1,1,1151
3,1,2,2,0,0,1,1152
3,1,1,0,0,1,1,1153
2,0,1,2,0,0,3,1154
3,0,0,1,0,0,2,1155
2,1,1,1,1,1,1,1156
3,1,2,0,0,1,1,1157
1,1,1,0,0,1,1,1158
3,1,2,0,0,1,1,1159
3,0,1,1,0,1,2,1160
3,1,1,1,0,1,1,1161
1,1,2,3,1,1,1,1162
3,1,1,0,2,1,1,1163
1,0,1,3,1,0,3,1164
3,0,2,2,2,0,2,1165
3,1,1,0,1,1,1,1166
2,0,1,2,0,0,2,1167
2,1,1,1,0,1,1,1168
2,1,2,2,0,0,1,1169
2,1,1,2,0,0,1,1170
2,1,1,1,0,1,1,1171
3,0,1,1,0,1,2,1172
3,1,0,1,0,0,4,1173
3,0,1,0,2,1,2,1174
3,0,0,2,1,0,2,1175
3,0,0,2,0,0,2,1176
3,1,2,0,0,1,1,1177
3,1,2,0,0,1,1,1178
1,1,1,3,0,0,1,1179
3,1,2,0,1,1,1,1180
3,1,1,1,0,1,1,1181
1,1,1,3,0,1,1,1182
3,0,1,0,2,1,2,1183
3,1,2,0,1,1,1,1184
1,1,3,3,0,0,5,1185
3,1,2,1,0,1,1,1186
3,1,1,0,0,1,1,1187
2,0,0,3,1,0,2,1188
3,1,2,2,1,0,1,1189
1,1,1,3,0,1,1,1190
3,1,1,0,0,1,1,1191
3,1,1,0,0,1,1,1192
2,1,2,2,1,1,1,1193
2,1,2,2,0,0,1,1194
3,1,1,1,0,1,1,1195
3,0,1,0,2,1,2,1196
1,0,3,2,0,0,3,1197
1,1,1,3,0,0,1,1198
3,1,0,1,0,0,4,1199
1,1,3,3,0,0,1,1200
3,0,2,1,0,0,3,1201
3,1,1,1,0,1,1,1202
3,1,1,0,1,1,1,1203
3,1,2,0,0,1,1,1204
3,0,2,0,2,1,2,1205
1,0,3,3,1,1,3,1206
3,0,1,0,2,1,2,1207
1,1,3,3,1,0,1,1208
2,1,1,1,0,1,1,1209
3,1,1,0,0,1,1,1210
2,1,1,3,0,0,1,1211
3,1,1,0,0,1,1,1212
3,1,1,0,1,1,1,1213
2,1,1,1,0,1,1,1214
1,1,2,2,0,1,1,1215
1,0,2,3,0,1,2,1216
3,1,1,0,0,1,1,1217
2,0,0,3,0,0,2,1218
1,1,2,3,1,1,1,1219
2,1,1,2,0,0,1,1220
2,1,1,1,0,1,1,1221
2,0,2,3,0,0,3,1222
1,1,2,2,1,1,1,1223
3,1,2,0,1,1,1,1224
3,0,1,2,1,0,3,1225
3,1,1,0,0,1,1,1226
1,1,1,2,0,1,1,1227
2,1,1,1,0,1,1,1228
3,1,2,0,1,0,1,1229
2,1,1,3,0,1,1,1230
3,1,2,0,1,1,4,1231
2,1,1,1,0,1,1,1232
3,1,1,0,0,1,1,1233
3,1,2,3,0,0,1,1234
1,0,3,3,1,0,3,1235
3,1,1,2,0,0,4,1236
3,0,0,0,0,1,2,1237
2,1,1,1,0,1,1,1238
3,0,2,0,1,1,3,1239
2,1,1,1,0,1,1,1240
2,0,1,2,0,1,2,1241
1,0,2,3,1,0,3,1242
2,1,1,1,0,1,1,1243
2,1,1,3,0,1,1,1244
2,1,3,3,0,0,1,1245
3,0,0,2,0,0,2,1246
1,1,3,2,0,1,1,1247
1,0,3,3,0,0,3,1248
3,1,1,0,0,1,1,1249
3,1,2,0,2,1,1,1250
3,0,1,2,0,0,3,1251
3,1,0,3,0,0,4,1252
2,0,1,3,1,0,3,1253
2,0,1,2,0,1,3,1254
3,1,1,1,0,1,1,1255
1,0,1,3,1,0,3,1256
3,0,2,3,0,0,3,1257
3,1,1,2,1,0,1,1258
3,0,1,3,0,1,2,1259
1,0,2,3,1,0,3,1260
2,1,1,1,1,1,1,1261
2,1,1,1,0,0,1,1262
1,0,1,3,1,1,2,1263
1,1,3,0,0,1,1,1264
2,1,2,1,0,1,1,1265
1,0,3,3,0,0,3,1266
1,0,2,3,1,1,2,1267
3,0,1,1,0,0,2,1268
2,1,1,1,0,1,1,1269
1,1,3,3,0,1,1,1270
3,1,0,3,0,0,4,1271
3,1,1,0,2,1,1,1272
3,1,1,0,2,1,1,1273
3,0,2,2,0,1,3,1274
3,0,1,2,0,0,3,1275
2,1,2,1,0,1,1,1276
2,0,1,3,0,0,2,1277
3,1,1,0,0,1,1,1278
2,1,3,1,0,1,1,1279
3,1,1,0,2,1,1,1280
3,1,0,2,0,0,4,1281
1,1,1,3,0,1,1,1282
1,0,3,3,0,0,3,1283
3,1,0,2,0,0,4,1284
2,1,2,1,0,1,1,1285
3,1,1,2,0,0,1,1286
1,0,1,3,0,0,3,1287
3,1,1,0,2,1,1,1288
1,0,2,3,1,0,3,1289
3,1,1,0,0,1,1,1290
3,1,1,0,2,1,1,1291
1,0,1,3,0,1,2,1292
2,1,2,2,0,0,1,1293
1,0,1,3,1,0,2,1294
1,1,1,3,0,1,1,1295
1,1,2,2,1,0,1,1296
2,1,1,1,1,1,1,1297
2,1,1,1,0,0,1,1298
1,1,3,3,1,0,1,1299
3,0,1,0,2,1,2,1300
3,0,0,1,0,0,2,1301
3,0,1,0,2,1,2,1302
1,0,2,3,2,0,3,1303
3,0,1,0,0,1,2,1304
3,1,1,1,0,1,1,1305
1,0,2,3,1,1,5,1306
3,1,2,0,0,1,1,1307
3,1,2,1,0,1,1,1308
3,1,2,2,1,0,4,1309
